run,status,model,backbone,loss,loss_display,venue,year,family,loss_variant,epochs,best_val_miou,best_val_miou_epoch,best_val_miou_present,best_val_miou_present_epoch,final_val_miou,final_val_miou_present,final_train_loss,final_val_loss,min_val_loss,val_overfit_drop_from_best,test_loss,test_miou,test_miou_present,test_macro_f1,test_macro_f1_present,test_oa_fg,test_ce,test_dice,val_bestckpt_miou,val_bestckpt_miou_present,val_bestckpt_macro_f1_present,val_bestckpt_oa_fg,params_m,gmacs,gflops,latency_ms_1x3x512x512,peak_vram_gb,gflops_approx,venue_year
baseline1_augv2_ce_dice,completed,DeepLabV3+,ConvNeXt-Tiny,ce_dice,ce+dice,ECCV2018,2018.0,general,ce_dice,80.0,0.3291883170604706,31.0,0.354510486125946,31.0,0.308193,0.3319,0.091823,2.143362,1.263549,0.0209949999999999,1.8400355327180635,0.2782387733459472,0.3895342350006103,0.3757272660732269,0.5260181427001953,0.7189002633094788,1.3924526453600632,0.4475828877899334,0.3291883170604706,0.354510486125946,0.4635457694530487,0.775631844997406,29.310846,37.956944384,75.913888768,4.469504952430725,0.208587646484375,0.0,
deeplabv3p_resnet50_baseline1_augv2_ce_dice,completed,DeepLabV3+,ResNet-50,ce_dice,ce+dice,ECCV2018,2018.0,general,ce_dice,80.0,0.33786,12.0,0.33786,12.0,0.311163,0.311163,0.392373,2.25524,1.585969,0.0266969999999999,1.6095786386980406,0.2817021012306213,0.3662127256393432,0.3766948282718658,0.4897032678127289,0.7092264294624329,0.950923618246424,0.6586550203258289,0.33786,0.33786,0.450247,0.720427,26.680926,36.796105216,73.592210432,3.0033864080905914,0.23001861572265625,,
baseline3_augv2_focal_dice,completed,DeepLabV3+,ConvNeXt-Tiny,focal_dice,focal+dice,ECCV2018,2018.0,general,focal_dice,80.0,0.3325249552726745,62.0,0.3581037819385528,62.0,0.323406,0.348283,0.071715,1.937045,0.965769,0.0091189999999999,2.1654576100374503,0.266778290271759,0.3734896183013916,0.3619984090328216,0.5067977905273438,0.704845130443573,1.713123193555672,0.4523344188304378,0.3325249552726745,0.3581037819385528,0.4708722233772278,0.7464393973350525,29.310846,37.956944384,75.913888768,4.469504952430725,0.208587646484375,0.0,
deeplabv3p_resnet50_baseline3_augv2_focal_dice,completed,DeepLabV3+,ResNet-50,focal_dice,focal+dice,ECCV2018,2018.0,general,focal_dice,80.0,0.341482,65.0,0.346087,12.0,0.338495,0.338495,0.427569,1.874094,1.259846,0.002987,1.937400676791704,0.2929122447967529,0.351494699716568,0.4015683233737945,0.4818820059299469,0.7000296711921692,1.281799201101682,0.6556014751707756,0.321366,0.346087,0.465704,0.704226,26.680926,36.796105216,73.592210432,3.0033864080905914,0.23001861572265625,,
baseline2_augv2_weighted_ce_dice,completed,DeepLabV3+,ConvNeXt-Tiny,weighted_ce_dice,weighted_ce+dice,ECCV2018,2018.0,general,weighted_ce_dice,80.0,0.3481974303722381,29.0,0.3749818503856659,29.0,0.303323,0.326655,0.103218,2.487826,1.305387,0.0448739999999999,1.9635942622316689,0.2689876556396484,0.3765827119350433,0.370930939912796,0.5193032622337341,0.683983564376831,1.4996465996986523,0.4639476630089884,0.3481974303722381,0.3749818503856659,0.4984291493892669,0.7133991122245789,29.310846,37.956944384,75.913888768,4.469504952430725,0.208587646484375,0.0,
deeplabv3p_resnet50_baseline2_augv2_weighted_ce_dice,completed,DeepLabV3+,ResNet-50,weighted_ce_dice,weighted_ce+dice,ECCV2018,2018.0,general,weighted_ce_dice,80.0,0.342731,23.0,0.342731,23.0,0.311513,0.311513,0.398393,2.365715,1.799904,0.031218,2.1198045205851126,0.2644373178482055,0.3437685370445251,0.3657757341861725,0.4755083918571472,0.6951462030410767,1.3890674757358583,0.7307370465727492,0.342731,0.342731,0.462671,0.722419,26.680926,36.796105216,73.592210432,3.0033864080905914,0.23001861572265625,,
upernet_swin_tiny_goldmdd,completed,UPerNet,Swin-Tiny,ce_dice,ce+dice,ECCV2018,2018.0,general,ce_dice,80.0,0.2872806735219155,31.0,0.2872806735219155,31.0,,,,,,,,0.259304958061807,0.3370964454803491,0.3577870940847616,0.4651232223101901,0.6729409066548977,,,0.2872806735219155,0.2872806735219155,0.3876223939896788,0.6733043378524126,59.837142,236.058423168,472.116846336,22.634385526180267,0.5306243896484375,,
farseg_r50_native,completed,FarSeg,ResNet-50,native_ce,ce (native),CVPR2020,2020.0,remote_sensing,native_ce,80.0,0.2989459335803985,10.0,0.2989459335803985,10.0,0.2352841943502426,0.2533829808235168,0.1994934274881263,,,0.0636628717184067,,0.2970378696918487,0.3564454615116119,0.3938610255718231,0.4726332128047943,0.7130417227745056,,,0.2989459335803985,0.2989459335803985,0.4016658365726471,0.6666155457496643,31.369806,47.058059264,94.116118528,3.917762885491053,0.24139690399169922,1.0,
farseg_r50_baseline1_augv2_ce_dice,completed,FarSeg,ResNet-50,ce_dice,ce+dice,CVPR2020,2020.0,remote_sensing,ce_dice,80.0,0.3111245930194855,10.0,0.3111245930194855,10.0,0.24483023583889,0.24483023583889,0.7887007049514168,,,0.0662943571805954,,0.3097784221172333,0.371734082698822,0.4112056195735931,0.4934466779232025,0.6893256902694702,,,0.3111245930194855,0.3111245930194855,0.4113925099372864,0.6550097465515137,31.369806,47.058059264,94.116118528,3.917762885491053,0.24139690399169922,1.0,CVPR2020
farseg_r50_baseline2_augv2_weighted_ce_dice,completed,FarSeg,ResNet-50,weighted_ce_dice,weighted_ce+dice,CVPR2020,2020.0,remote_sensing,weighted_ce_dice,80.0,0.3073303401470184,51.0,0.3309711217880249,51.0,0.2888650596141815,0.311085432767868,0.7866479154270833,,,0.0184652805328368,,0.2601487040519714,0.3642081618309021,0.3618302941322326,0.506562352180481,0.6635982394218445,,,0.3073303401470184,0.3309711217880249,0.4607065320014953,0.5946054458618164,31.369806,47.058059264,94.116118528,3.917762885491053,0.24139690399169922,1.0,CVPR2020
farseg_baseline3_augv2_focal_dice,completed,FarSeg,ResNet-50,focal_dice,focal+dice,CVPR2020,2020.0,remote_sensing,focal_dice,80.0,0.3285807073116302,5.0,0.3285807073116302,5.0,,,,,,,,0.3119802474975586,0.3743763267993927,,0.4899227619171142,0.734235942363739,,,0.3285807073116302,0.3285807073116302,0.4309242665767669,0.7011801600456238,31.369806,47.058059264,94.116118528,3.917762885491053,0.24139690399169922,,CVPR2020
ocrnet_hr48_goldmdd,completed,OCRNet,HRNet-W48,ce_dice,ce+dice,ECCV2020,2020.0,general,ce_dice,80.0,0.2953660012315566,47.0,0.2953660012315566,47.0,,,,,,,,0.2268271749071257,0.272192609888551,0.3294590876404651,0.3953509051685581,0.5734632960845514,,,0.2953660012315566,0.2953660012315566,0.400791506831153,0.6781537389531945,70.365276,162.677076992,325.354153984,61.49441674351692,0.505185604095459,,
